Data from QEPB03971_15-49-05-471.txt Node
Date: Thu Dec 12 15:49:05 CET 2024
User: asdfg
Spectrometer: QEPB0397
Trigger mode: 0
Integration Time (sec): 1,000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
198,666	41,12
199,473	40,12
200,28	46,12
201,087	42,12
201,893	43,12
202,7	43,12
203,507	42,12
204,313	40,12
205,119	41,12
205,926	42,12
206,732	44,12
207,538	37,12
208,344	38,12
209,15	43,12
209,956	34,12
210,762	43,12
211,567	39,12
212,373	42,12
213,179	46,12
213,984	47,12
214,789	42,12
215,595	42,12
216,4	41,12
217,205	43,12
218,01	43,12
218,816	40,12
219,621	46,12
220,425	47,12
221,23	39,12
222,035	41,12
222,84	40,12
223,644	42,12
224,449	45,12
225,253	44,12
226,058	40,12
226,862	46,12
227,666	40,12
228,47	45,12
229,274	42,12
230,078	40,12
230,882	42,12
231,686	44,12
232,49	38,12
233,294	44,12
234,097	44,12
234,901	38,12
235,704	44,12
236,508	47,12
237,311	52,12
238,114	42,12
238,917	43,12
239,721	44,12
240,524	41,12
241,326	52,12
242,129	43,12
242,932	45,12
243,735	46,12
244,537	47,12
245,34	47,12
246,143	41,12
246,945	46,12
247,747	49,12
248,55	46,12
249,352	46,12
250,154	44,12
250,956	37,12
251,758	40,12
252,56	46,12
253,361	41,12
254,163	57,12
254,965	42,12
255,766	43,12
256,568	44,12
257,369	42,12
258,171	40,12
258,972	44,12
259,773	42,12
260,574	46,12
261,375	47,12
262,176	41,12
262,977	39,12
263,778	44,12
264,579	36,12
265,379	43,12
266,18	40,12
266,98	42,12
267,781	42,12
268,581	40,12
269,381	44,12
270,182	45,12
270,982	35,12
271,782	45,12
272,582	40,12
273,382	40,12
274,182	40,12
274,981	46,12
275,781	47,12
276,581	43,12
277,38	41,12
278,179	39,12
278,979	44,12
279,778	40,12
280,577	44,12
281,376	46,12
282,176	43,12
282,975	40,12
283,773	41,12
284,572	39,12
285,371	44,12
286,17	46,12
286,968	39,12
287,767	47,12
288,565	40,12
289,364	41,12
290,162	43,12
290,96	44,12
291,758	42,12
292,556	39,12
293,354	36,12
294,152	43,12
294,95	42,12
295,748	46,12
296,545	40,12
297,343	82,12
298,141	43,12
298,938	46,12
299,735	45,12
300,533	43,12
301,33	46,12
302,127	45,12
302,924	36,12
303,721	41,12
304,518	39,12
305,315	45,12
306,112	44,12
306,908	44,12
307,705	45,12
308,501	44,12
309,298	42,12
310,094	42,12
310,891	37,12
311,687	42,12
312,483	45,12
313,279	43,12
314,075	45,12
314,871	40,12
315,667	38,12
316,462	42,12
317,258	40,12
318,054	39,12
318,849	43,12
319,645	44,12
320,44	39,12
321,235	38,12
322,031	38,12
322,826	45,12
323,621	43,12
324,416	41,12
325,211	41,12
326,006	48,12
326,8	45,12
327,595	44,12
328,39	43,12
329,184	46,12
329,979	44,12
